1	2:106	3:-44	4:-42	5:-31	6:-88	7:20	
1	2:-2	3:-43	4:-14	5:-39	6:-62	7:22	
1	2:-178	3:-191	4:-161	5:-187	6:-197	7:-114	
1	2:-54	3:-49	4:-64	5:-53	6:-119	7:13	
1	2:-52	3:-22	4:-17	5:-42	6:-47	7:20	
1	2:-25	3:-43	4:-14	5:-22	6:-36	7:17	
1	2:121	3:-13	4:121	5:-27	6:-37	7:3	
1	2:-187	3:-158	4:-167	5:-157	6:-146	7:-150	
1	2:-85	3:-28	4:108	5:-32	6:-69	7:6	
1	2:3	3:30	4:-4	5:20	6:-36	7:-15	
1	2:-22	3:-6	4:-1	5:-10	6:-51	7:-50	
1	2:-151	3:-153	4:-140	5:-159	6:-190	7:0	
1	2:-161	3:-162	4:-164	5:-165	6:-214	7:-107	
1	2:-31	3:-89	4:-77	5:-42	6:-89	7:-1	
1	2:90	3:-26	4:-53	5:90	6:-86	7:22	
1	2:-2	3:113	4:113	5:113	6:-68	7:43	
1	2:-34	3:-24	4:-38	5:-10	6:-72	7:163	
1	2:124	3:-20	4:-38	5:4	6:-52	7:55	
1	2:20	3:-25	4:-17	5:3	6:-49	7:63	
1	2:-34	3:-43	4:-42	5:103	6:-86	7:23	
1	2:19	3:-4	4:13	5:-14	6:-30	7:51	
1	2:19	3:133	4:-32	5:-11	6:-43	7:20	
1	2:-25	3:-44	4:-55	5:58	6:-97	7:13	
1	2:-17	3:-35	4:-28	5:-49	6:-56	7:14	
1	2:-7	3:-34	4:-46	5:-30	6:-49	7:2	
1	2:0	3:-25	4:120	5:120	6:-35	7:41	
1	2:0	3:-27	4:-42	5:-21	6:-55	7:18	
1	2:-2	3:-24	4:-46	5:-11	6:-46	7:26	
1	2:-42	3:74	4:-62	5:-63	6:-102	7:-5	
1	2:-11	3:129	4:-7	5:-13	6:-88	7:51	
1	2:-43	3:-63	4:-78	5:-77	6:-118	7:-7	
1	2:-47	3:-70	4:68	5:-74	6:-115	7:-12	
1	2:123	3:123	4:7	5:-19	6:-62	7:42	
1	2:-16	3:122	4:-14	5:-23	6:-52	7:37	
1	2:113	3:113	4:-32	5:-46	6:-81	7:26	
1	2:-83	3:94	4:-49	5:-57	6:-87	7:1	
1	2:-1	3:140	4:-14	5:-28	6:-53	7:49	
1	2:-44	3:136	4:-28	5:-49	6:-73	7:20	
1	2:-156	3:-176	4:-194	5:-199	6:-233	7:-118	
