1	1:62	2:47	3:8	4:18	5:27	6:13	7:221	
1	1:35	2:29	3:47	4:26	5:18	6:27	7:213	
1	1:0	2:0	3:198	4:199	5:0	6:0	7:0	
1	1:1	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:1	2:398	3:0	4:0	5:0	6:0	7:0	
1	1:3	2:197	3:197	4:0	5:0	6:0	7:1	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:0	2:396	3:0	4:0	5:0	6:0	7:1	
1	1:104	2:133	3:38	4:46	5:20	6:19	7:36	
1	1:3	2:197	3:0	4:0	5:0	6:0	7:197	
1	1:2	2:198	3:198	4:0	5:0	6:0	7:0	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:6	2:11	3:6	4:3	5:1	6:367	7:2	
1	1:84	2:42	3:41	4:75	5:38	6:15	7:101	
1	1:0	2:198	3:1	4:0	5:0	6:0	7:198	
1	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
1	1:130	2:46	3:31	4:27	5:20	6:14	7:128	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:189	2:50	3:38	4:18	5:15	6:18	7:69	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:178	2:36	3:66	4:10	5:10	6:13	7:83	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:10	2:15	3:18	4:38	5:37	6:19	7:259	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:157	2:35	3:71	4:36	5:13	6:3	7:82	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:138	2:31	3:95	4:25	5:18	6:8	7:82	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:301	2:19	3:36	4:7	5:4	6:2	7:28	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:164	2:27	3:46	4:78	5:20	6:1	7:60	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:24	2:81	3:65	4:31	5:31	6:13	7:152	
1	1:91	2:49	3:30	4:82	5:32	6:3	7:110	
1	1:60	2:94	3:106	4:21	5:32	6:18	7:66	
1	1:119	2:49	3:42	4:47	5:36	6:19	7:84	
1	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
