0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:113	2:185	3:46	4:39	5:6	6:4	7:4	
0	1:306	2:24	3:35	4:21	5:10	6:1	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:397	2:0	3:1	4:0	5:0	6:0	7:0	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:138	2:90	3:83	4:64	5:12	6:5	7:5	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:136	2:104	3:130	4:12	5:9	6:3	7:2	
0	1:332	2:11	3:14	4:27	5:8	6:2	7:2	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:310	2:19	3:21	4:37	5:4	6:3	7:3	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:146	2:45	3:87	4:101	5:12	6:2	7:4	
0	1:61	2:198	3:77	4:47	5:7	6:6	7:1	
0	1:199	2:0	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:0	4:398	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:240	2:30	3:89	4:16	5:14	6:6	7:1	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:287	2:56	3:29	4:19	5:3	6:2	7:1	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:1	2:396	3:0	4:0	5:0	6:0	7:0	
0	1:3	2:396	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:3	2:0	3:395	4:0	5:0	6:0	7:0	
0	1:3	2:0	3:396	4:0	5:0	6:0	7:0	
0	1:203	2:112	3:30	4:20	5:18	6:8	7:5	
0	1:0	2:0	3:0	4:0	5:0	6:399	7:0	
0	1:150	2:90	3:42	4:85	5:19	6:7	7:3	
0	1:151	2:100	3:111	4:17	5:11	6:1	7:4	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:227	2:79	3:52	4:10	5:19	6:9	7:1	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:319	2:11	3:24	4:21	5:18	6:1	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:166	2:108	3:90	4:17	5:6	6:3	7:5	
0	1:294	2:49	3:25	4:19	5:5	6:2	7:2	
