1	1:-56	2:113	3:-47	4:-50	5:-85	6:-89	
1	1:-111	2:-137	3:-157	4:-164	5:-183	6:-200	
1	1:-56	2:-22	3:-29	4:-56	5:-76	6:-69	
1	1:-148	2:-149	3:-168	4:-211	5:-210	6:-172	
1	1:-162	2:-149	3:-171	4:-177	5:-208	6:-181	
1	1:-139	2:-152	3:-166	4:-195	5:-218	6:-207	
1	1:0	2:0	3:-161	4:-190	5:-182	6:-200	
1	1:-139	2:-162	3:-160	4:-170	5:-200	6:-203	
1	1:0	2:-173	3:-188	4:-185	5:-207	6:-198	
1	1:-31	2:-52	3:-74	4:-96	5:-111	6:137	
1	1:-137	2:-169	3:-166	4:-189	5:-201	6:-178	
1	1:9	2:128	3:-59	4:-45	5:-60	6:-48	
1	1:22	2:5	3:-14	4:-5	5:-20	6:-27	
1	1:58	2:4	3:-7	4:8	5:-37	6:-19	
1	1:-68	2:150	3:-18	4:-28	5:-27	6:-41	
1	1:5	2:-2	3:-21	4:-20	5:-46	6:-42	
1	1:-38	2:-41	3:-30	4:-52	5:-84	6:-66	
1	1:-147	2:-169	3:-168	4:-178	5:-183	6:-196	
1	1:-56	2:-4	3:-76	4:-56	5:-95	6:-91	
1	1:124	2:-11	3:-48	4:-46	5:-68	6:-74	
1	1:22	2:167	3:-1	4:-7	5:-30	6:-34	
1	1:-4	2:154	3:-14	4:-31	5:-41	6:-53	
1	1:162	2:162	3:-15	4:-12	5:-36	6:-20	
1	1:-12	2:31	3:-16	4:-33	5:-59	6:-55	
1	1:-9	2:-9	3:-17	4:-37	5:-83	6:-53	
